absoluto	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
petróleo	masculine noun	oil, petroleum	no sentence available	no sentence available
plomo	masculine noun	lead	sin plomo	unleaded
pollo	noun	chicken	no sentence available	no sentence available
porcentaje	masculine noun	percentage	no sentence available	no sentence available
portador	noun	carrier, bearer	cheque al portador	check payable to bearer
prisionero	noun	prisoner	no sentence available	no sentence available
pulmón	masculine noun	lung	no sentence available	no sentence available
quehacer	masculine noun	work	no sentence available	no sentence available
queso	masculine noun	cheese	no sentence available	no sentence available
rango	masculine noun	rank, status	no sentence available	no sentence available
rastro	masculine noun	trail, track	no sentence available	no sentence available
razonamiento	masculine noun	reasoning	no sentence available	no sentence available
recinto	masculine noun	enclosure	no sentence available	no sentence available
reparto	masculine noun	allocation	no sentence available	no sentence available
restaurante	masculine noun	restaurant	no sentence available	no sentence available
reto	masculine noun	challenge, dare	no sentence available	no sentence available
retorno	masculine noun	return	no sentence available	no sentence available
rito	masculine noun	rite, ritual	no sentence available	no sentence available
salario	masculine noun	salary	no sentence available	no sentence available
suicidio	masculine noun	suicide	no sentence available	no sentence available
susto	masculine noun	fright, scare	no sentence available	no sentence available
taxi	masculine noun	taxi, taxicab	no sentence available	no sentence available
televisor	masculine noun	television set	no sentence available	no sentence available
timbre	masculine noun	bell	tocar el timbre	to ring the doorbell
toque	masculine noun	touch	el último toque	the finishing touch
trámite	masculine noun	procedure, step	no sentence available	no sentence available
tramo	masculine noun	stretch, section	no sentence available	no sentence available
transcurso	masculine noun	course, progression	en el transcurso de cien años	over the course of a hundred years
trayecto	masculine noun	journey	no sentence available	no sentence available
viajero	adjective	traveling	no sentence available	no sentence available
vientre	masculine noun	abdomen, belly	no sentence available	no sentence available
vigor	masculine noun	vigor, energy, strength	entrar en vigor	to take effect
vínculo	masculine noun	tie, link, bond	no sentence available	no sentence available
cazador	noun	hunter	no sentence available	no sentence available
conductor	adjective	conducting, leading	no sentence available	no sentence available
enfermero	noun	nurse	no sentence available	no sentence available
historiador	noun	historian	no sentence available	no sentence available
pastor	noun	shepherd, shepherdess	no sentence available	no sentence available
diecisiete	adjective & masculine noun	seventeen	no sentence available	no sentence available
noventa	adjective & masculine noun	ninety	no sentence available	no sentence available
quinientos	adjective & pronoun	five hundred	no sentence available	no sentence available
trescientos	adjective & pronoun	three hundred	no sentence available	no sentence available
excepto	preposition	except	no sentence available	no sentence available
contigo	pronoun	with you	voy contigo	I'm going with you
vos	pronoun	you	para vos	for you
acelerar	transitive verb	to accelerate, to speed up	no sentence available	no sentence available
acertar	transitive verb	to guess correctly	no sentence available	no sentence available
acostar	transitive verb	to lay (something) down	no sentence available	no sentence available
adorar	transitive verb	to adore, to worship	no sentence available	no sentence available
agitar	transitive verb	to agitate, to shake	no sentence available	no sentence available
aislar	transitive verb	to isolate	no sentence available	no sentence available
alentar	transitive verb	to encourage, to inspire	no sentence available	no sentence available
aliviar	transitive verb	to relieve, to alleviate, to soothe	no sentence available	no sentence available
alternar	intransitive verb	to alternate	no sentence available	no sentence available
aludir	intransitive verb	to allude, to refer	no sentence available	no sentence available
aplastar	transitive verb	to crush, to squash	no sentence available	no sentence available
aplaudir	verb	to applaud	no sentence available	no sentence available
apoderar	transitive verb	to authorize, to empower	no sentence available	no sentence available
arder	intransitive verb	to burn	el bosque está ardiendo	the forest is in flames
arrebatar	transitive verb	to snatch, to seize	no sentence available	no sentence available
arriesgar	transitive verb	to risk, to venture	no sentence available	no sentence available
asentar	transitive verb	to lay down, to set down, to place	no sentence available	no sentence available
asesinar	transitive verb	to murder	no sentence available	no sentence available
asignar	transitive verb	to assign, to allocate	no sentence available	no sentence available
bañar	transitive verb	to bathe, to wash	bañado en lágrimas	bathed in tears
barrer	transitive verb	to sweep	no sentence available	no sentence available
batir	transitive verb	to beat, to hit	no sentence available	no sentence available
bautizar	transitive verb	to baptize, to christen	no sentence available	no sentence available
beneficiar	transitive verb	to benefit	no sentence available	no sentence available
